identifier,Tail_1.1,Tail_2.1,Ion_1.1,Ion_2.1,Spacer.1,SMILES,Surfactant_Type,Temp_Celsius,pCMC,source_doi,CMC,Molecular_Weight,InChI
60,,,,,,CCCCCCCCC[N+](C)(C)CCCCNC[N+](C)(C)CCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,1.7447,10.1016/j.chemosphere.2011.05.031,0.01800113960418011,587.6140000000004,"InChI=1S/C27H61N3.2BrH/c1-7-9-11-13-15-17-20-24-29(3,4)25-22-19-23-28-27-30(5,6)26-21-18-16-14-12-10-8-2;;/h28H,7-27H2,1-6H3;2*1H/q+2;;/p-2"
61,,,,,,CCCCCCCCCC[N+](C)(C)CCCCNC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.0757,10.1016/j.chemosphere.2011.05.031,0.008400400652637691,615.6680000000005,"InChI=1S/C29H65N3.2BrH/c1-7-9-11-13-15-17-19-22-26-31(3,4)27-24-21-25-30-29-32(5,6)28-23-20-18-16-14-12-10-8-2;;/h30H,7-29H2,1-6H3;2*1H/q+2;;/p-2"
62,,,,,,CCCCCCCCCCC[N+](C)(C)CCCCNC[N+](C)(C)CCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.5229,10.1016/j.chemosphere.2011.05.031,0.0029998531811907935,643.7220000000004,"InChI=1S/C31H69N3.2BrH/c1-7-9-11-13-15-17-19-21-24-28-33(3,4)29-26-23-27-32-31-34(5,6)30-25-22-20-18-16-14-12-10-8-2;;/h32H,7-31H2,1-6H3;2*1H/q+2;;/p-2"
63,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCNC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.9586,10.1016/j.chemosphere.2011.05.031,0.0011000185275062205,671.7760000000005,"InChI=1S/C33H73N3.2BrH/c1-7-9-11-13-15-17-19-21-23-26-30-35(3,4)31-28-25-29-34-33-36(5,6)32-27-24-22-20-18-16-14-12-10-8-2;;/h34H,7-33H2,1-6H3;2*1H/q+2;;/p-2"
64,,,,,,CCCCCCCCCCCCC[N+](C)(C)CCCCNC[N+](C)(C)CCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.4815,10.1016/j.chemosphere.2011.05.031,0.0003299894079108348,699.8300000000005,"InChI=1S/C35H77N3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-28-32-37(3,4)33-30-27-31-36-35-38(5,6)34-29-26-24-22-20-18-16-14-12-10-8-2;;/h36H,7-35H2,1-6H3;2*1H/q+2;;/p-2"
65,,,,,,CCCCCCCCCCCCCC[N+](C)(C)CCCCNC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.9208,10.1016/j.chemosphere.2011.05.031,0.00012000518202042658,727.8840000000004,"InChI=1S/C37H81N3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-30-34-39(3,4)35-32-29-33-38-37-40(5,6)36-31-28-26-24-22-20-18-16-14-12-10-8-2;;/h38H,7-37H2,1-6H3;2*1H/q+2;;/p-2"
66,,,,,,CCCCCCCCCCCCCCC[N+](C)(C)CCCCNC[N+](C)(C)CCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.3665,10.1016/j.chemosphere.2011.05.031,4.3003123363054406e-05,755.9380000000002,"InChI=1S/C39H85N3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-32-36-41(3,4)37-34-31-35-40-39-42(5,6)38-33-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h40H,7-39H2,1-6H3;2*1H/q+2;;/p-2"
67,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCNC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.9208,10.1016/j.chemosphere.2011.05.031,1.2000518202042658e-05,783.9920000000001,"InChI=1S/C41H89N3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-34-38-43(3,4)39-36-33-37-42-41-44(5,6)40-35-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h42H,7-41H2,1-6H3;2*1H/q+2;;/p-2"
68,,,,,,CCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0,1.3565,10.1016/j.chemosphere.2011.05.031,0.044004794783598374,546.5170000000003,"InChI=1S/C24H54N2O.2BrH/c1-7-9-11-13-15-17-19-25(3,4)21-23-27-24-22-26(5,6)20-18-16-14-12-10-8-2;;/h7-24H2,1-6H3;2*1H/q+2;;/p-2"
69b,,,,,,CCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,1.6576,10.1016/j.chemosphere.2011.05.031,0.021998851090492492,574.5710000000004,"InChI=1S/C26H58N2O.2BrH/c1-7-9-11-13-15-17-19-21-27(3,4)23-25-29-26-24-28(5,6)22-20-18-16-14-12-10-8-2;;/h7-26H2,1-6H3;2*1H/q+2;;/p-2"
70,,,,,,CCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.1135,10.1016/j.chemosphere.2011.05.031,0.007700164443568718,602.6250000000005,"InChI=1S/C28H62N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-29(3,4)25-27-31-28-26-30(5,6)24-22-20-18-16-14-12-10-8-2;;/h7-28H2,1-6H3;2*1H/q+2;;/p-2"
71,,,,,,CCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.585,10.1016/j.chemosphere.2011.05.031,0.002600159563165272,630.6790000000005,"InChI=1S/C30H66N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-31(3,4)27-29-33-30-28-32(5,6)26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
72,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.0,10.1016/j.chemosphere.2011.05.031,0.001,658.7330000000006,"InChI=1S/C32H70N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-33(3,4)29-31-35-32-30-34(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2"
73,,,,,,CCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.4202,10.1016/j.chemosphere.2011.05.031,0.0003800143529415859,686.7870000000006,"InChI=1S/C34H74N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35(3,4)31-33-37-34-32-36(5,6)30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
74,,,,,,CCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.7212,10.1016/j.chemosphere.2011.05.031,0.00019002030025772323,714.8410000000005,"InChI=1S/C36H78N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-37(3,4)33-35-39-36-34-38(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H/q+2;;/p-2"
75,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.1938,10.1016/j.chemosphere.2011.05.031,0.0006400295121083712,770.9490000000002,"InChI=1S/C40H86N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-41(3,4)37-39-43-40-38-42(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H/q+2;;/p-2"
76,,,,,,CCCCCC[N+](C)(C)CCSCC[N+](C)(C)CCCCCC.[Br-].[Br-],cationic gemini,25.0,0.8861,10.1016/j.chemosphere.2011.05.031,0.12998702373886037,506.4770000000002,"InChI=1S/C20H46N2S.2BrH/c1-7-9-11-13-15-21(3,4)17-19-23-20-18-22(5,6)16-14-12-10-8-2;;/h7-20H2,1-6H3;2*1H/q+2;;/p-2"
77,,,,,,CCCCCCCC[N+](C)(C)CCSCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0,1.4318,10.1016/j.chemosphere.2011.05.031,0.03699985311728596,562.5850000000003,"InChI=1S/C24H54N2S.2BrH/c1-7-9-11-13-15-17-19-25(3,4)21-23-27-24-22-26(5,6)20-18-16-14-12-10-8-2;;/h7-24H2,1-6H3;2*1H/q+2;;/p-2"
78,,,,,,CCCCCCCCCC[N+](C)(C)CCSCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.2076,10.1016/j.chemosphere.2011.05.031,0.006200118642087248,618.6930000000004,"InChI=1S/C28H62N2S.2BrH/c1-7-9-11-13-15-17-19-21-23-29(3,4)25-27-31-28-26-30(5,6)24-22-20-18-16-14-12-10-8-2;;/h7-28H2,1-6H3;2*1H/q+2;;/p-2"
79b,,,,,,CCCCCCCCCCCC[N+](C)(C)CCSCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.0177,10.1016/j.chemosphere.2011.05.031,0.0009600635909453472,674.8010000000005,"InChI=1S/C32H70N2S.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-33(3,4)29-31-35-32-30-34(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2"
80,,,,,,CCCCCCCCCCCCCC[N+](C)(C)CCSCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.0,10.1016/j.chemosphere.2011.05.031,0.0001,730.9090000000002,"InChI=1S/C36H78N2S.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-37(3,4)33-35-39-36-34-38(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H/q+2;;/p-2"
81,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCSCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,5.0132,10.1016/j.chemosphere.2011.05.031,9.700631337839562e-06,787.0169999999999,"InChI=1S/C40H86N2S.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-41(3,4)37-39-43-40-38-42(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H/q+2;;/p-2"
82,,,,,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCSCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,6.0,10.1016/j.chemosphere.2011.05.031,1e-06,843.1249999999995,"InChI=1S/C44H94N2S.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-45(3,4)41-43-47-44-42-46(5,6)40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-44H2,1-6H3;2*1H/q+2;;/p-2"
83,,,,,,CCCCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.857,10.1016/j.chemosphere.2011.05.031,0.0013899526312133527,582.5940000000004,"InChI=1S/C28H58N2.2BrH/c1-7-9-11-13-15-17-19-21-25-29(3,4)27-23-24-28-30(5,6)26-22-20-18-16-14-12-10-8-2;;/h7-22,25-28H2,1-6H3;2*1H/q+2;;/p-2"
84,,,,,,CCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0,1.5935,10.1016/j.chemosphere.2011.05.031,0.02549764087799283,526.4860000000003,"InChI=1S/C24H50N2.2BrH/c1-7-9-11-13-15-17-21-25(3,4)23-19-20-24-26(5,6)22-18-16-14-12-10-8-2;;/h7-18,21-24H2,1-6H3;2*1H/q+2;;/p-2"
95,,,,,,CCCCCCCCCC[N+](C)(C)CC(O)CC(O)[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.4318,10.1016/j.chemosphere.2011.05.031,0.003699985311728596,618.6240000000005,"InChI=1S/C28H62N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-29(3,4)26-27(31)25-28(32)30(5,6)24-22-20-18-16-14-12-10-8-2;;/h27-28,31-32H,7-26H2,1-6H3;2*1H/q+2;;/p-2"
96,,,,,,CCCCCCCCCCCC[N+](C)(C)CC(O)CC(O)[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.1549,10.1016/j.chemosphere.2011.05.031,0.0007000031591308969,674.7320000000005,"InChI=1S/C32H70N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-33(3,4)30-31(35)29-32(36)34(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h31-32,35-36H,7-30H2,1-6H3;2*1H/q+2;;/p-2"
97,,,,,,CCCCCCCCCCCCCC[N+](C)(C)CC(O)CC(O)[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.0706,10.1016/j.chemosphere.2011.05.031,8.499629594496202e-05,730.8400000000001,"InChI=1S/C36H78N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-37(3,4)34-35(39)33-36(40)38(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h35-36,39-40H,7-34H2,1-6H3;2*1H/q+2;;/p-2"
98,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)CC(O)[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.301,10.1016/j.chemosphere.2011.05.031,5.000345349769783e-05,786.9479999999999,"InChI=1S/C40H86N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-41(3,4)38-39(43)37-40(44)42(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h39-40,43-44H,7-38H2,1-6H3;2*1H/q+2;;/p-2"
107,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOCCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.0362,10.1016/j.chemosphere.2011.05.031,0.0009200257866482331,702.7860000000005,"InChI=1S/C34H74N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-35(3,4)29-31-37-33-34-38-32-30-36(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
108,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOCCOCCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.0655,10.1016/j.chemosphere.2011.05.031,0.0008600030668888556,746.8390000000002,"InChI=1S/C36H78N2O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-37(3,4)29-31-39-33-35-41-36-34-40-32-30-38(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H/q+2;;/p-2"
109b,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOCCOCCOCCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.0458,10.1016/j.chemosphere.2011.05.031,0.0008999119108700523,790.8919999999999,"InChI=1S/C38H82N2O4.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-39(3,4)29-31-41-33-35-43-37-38-44-36-34-42-32-30-40(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2"
110,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOCCOCCOCCOCCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.9101,10.1016/j.chemosphere.2011.05.031,0.0012299855235704722,834.9449999999997,"InChI=1S/C40H86N2O5.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-41(3,4)29-31-43-33-35-45-37-39-47-40-38-46-36-34-44-32-30-42(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H/q+2;;/p-2"
120,,,,,,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.8013,10.1016/j.chemosphere.2011.05.031,0.0001580156128997185,726.8960000000004,"InChI=1S/C38H82N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31-35-39(3,4)37-33-29-30-34-38-40(5,6)36-32-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2"
