identifier,Temp_Celsius,ref,SMILES,pCMC,Molecular_Weight,InChI,CMC,source_doi,reference_doi
dodecanoyl-N-methylxylamine,25,96,CCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)CO,3.4436974992327127,319.44200000000006,"InChI=1S/C16H33NO5/c1-3-4-5-6-7-8-9-10-15(21)17(2)11-13(19)16(22)14(20)12-18/h13-14,16,18-20,22H,3-12H2,1-2H3/t13-,14+,16+/m0/s1",0.00035999999999999997,10.1021/acs.iecr.6b02890,10.1007/s11743-999-0089-0
octanoyl-N-methylglucamine,25,86,CCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1.1611509092627446,321.41400000000004,"InChI=1S/C15H31NO6/c1-3-4-5-6-7-8-13(20)16(2)9-11(18)14(21)15(22)12(19)10-17/h11-12,14-15,17-19,21-22H,3-10H2,1-2H3/t11-,12+,14+,15+/m0/s1",0.069,10.1021/acs.iecr.6b02890,10.1246/bcsj.60.2719
nonanoyl-N-methylglucamine,25,86,CCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1.6777807052660807,335.4410000000001,"InChI=1S/C16H33NO6/c1-3-4-5-6-7-8-9-14(21)17(2)10-12(19)15(22)16(23)13(20)11-18/h12-13,15-16,18-20,22-23H,3-11H2,1-2H3/t12-,13+,15+,16+/m0/s1",0.021,10.1021/acs.iecr.6b02890,10.1246/bcsj.60.2719
decanoyl-N-methylglucamine,25,86,CCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2.1739251972991736,349.4680000000001,"InChI=1S/C17H35NO6/c1-3-4-5-6-7-8-9-10-15(22)18(2)11-13(20)16(23)17(24)14(21)12-19/h13-14,16-17,19-21,23-24H,3-12H2,1-2H3/t13-,14+,16+,17+/m0/s1",0.0067,10.1021/acs.iecr.6b02890,10.1246/bcsj.60.2719
decyl-β-D-maltoside,25,97,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,2.6989700043360187,482.5670000000001,"InChI=1S/C22H42O11/c1-2-3-4-5-6-7-8-9-10-30-21-19(29)17(27)20(14(12-24)32-21)33-22-18(28)16(26)15(25)13(11-23)31-22/h13-29H,2-12H2,1H3/t13-,14-,15-,16+,17-,18-,19-,20-,21-,22-/m1/s1",0.002,10.1021/acs.iecr.6b02890,10.1021/la980519x
decyl-β-D-glucoside,25,97,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.6989700043360187,320.4260000000001,"InChI=1S/C16H32O6/c1-2-3-4-5-6-7-8-9-10-21-16-15(20)14(19)13(18)12(11-17)22-16/h12-20H,2-11H2,1H3/t12-,13-,14+,15-,16-/m1/s1",0.002,10.1021/acs.iecr.6b02890,10.1021/la980519x
dodecyl-β-D-maltoside,22,98,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,3.769551078621726,510.6210000000001,"InChI=1S/C24H46O11/c1-2-3-4-5-6-7-8-9-10-11-12-32-23-21(31)19(29)22(16(14-26)34-23)35-24-20(30)18(28)17(27)15(13-25)33-24/h15-31H,2-14H2,1H3/t15-,16-,17-,18+,19-,20-,21-,22-,23-,24-/m1/s1",0.00017,10.1021/acs.iecr.6b02890,10.1021/la026943m
oleyl-β-D-maltoside,25,99,CCCCCCCC/C=C\CCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,4.698970004336019,592.7670000000004,"InChI=1S/C30H56O11/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-38-29-27(37)25(35)28(22(20-32)40-29)41-30-26(36)24(34)23(33)21(19-31)39-30/h9-10,21-37H,2-8,11-20H2,1H3/b10-9-",2e-05,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.10.039
oleyl-β-D-maltotrioside,25,99,CCCCCCCC/C=C\CCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,4.376750709602099,754.9080000000006,"InChI=1S/C36H66O16/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-47-34-30(45)27(42)32(23(20-38)49-34)52-36-31(46)28(43)33(24(21-39)50-36)51-35-29(44)26(41)25(40)22(19-37)48-35/h9-10,22-46H,2-8,11-21H2,1H3/b10-9-/t22-,23-,24-,25-,26+,27-,28-,29-,30-,31-,32-,33-,34+,35-,36-/m1/s1",4.2000000000000004e-05,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.10.039
[N-(oleoyl)-2 -ethylamino]-β-D-maltoside,25,99,CCCCCCCC/C=C\CCCCCCCC(=O)NCCOC1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,4.045757490560675,649.8190000000004,"InChI=1S/C32H59NO12/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(36)33-18-19-42-31-29(41)27(39)30(23(21-35)44-31)45-32-28(40)26(38)25(37)22(20-34)43-32/h9-10,22-23,25-32,34-35,37-41H,2-8,11-21H2,1H3,(H,33,36)/b10-9-/t22-,23-,25-,26+,27-,28-,29-,30-,31?,32-/m1/s1",8.999999999999999e-05,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.10.039
hexyl-D-maltonamide,25,100,CCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,1.080921907623926,441.4740000000001,"InChI=1S/C18H35NO11/c1-2-3-4-5-6-19-17(28)14(26)13(25)16(9(22)7-20)30-18-15(27)12(24)11(23)10(8-21)29-18/h9-16,18,20-27H,2-8H2,1H3,(H,19,28)/t9-,10-,11-,12+,13-,14-,15-,16-,18-/m1/s1",0.083,10.1021/acs.iecr.6b02890,10.1006/jcis.1996.0054
octyl-D-maltonamide,25,100,CCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,2.2441251443275085,469.52800000000013,"InChI=1S/C20H39NO11/c1-2-3-4-5-6-7-8-21-19(30)16(28)15(27)18(11(24)9-22)32-20-17(29)14(26)13(25)12(10-23)31-20/h11-18,20,22-29H,2-10H2,1H3,(H,21,30)/t11-,12-,13-,14+,15-,16-,17-,18-,20-/m1/s1",0.0057,10.1021/acs.iecr.6b02890,10.1006/jcis.1996.0054
decyl-D-maltonamide,25,100,CCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,2.886056647693163,497.5820000000001,"InChI=1S/C22H43NO11/c1-2-3-4-5-6-7-8-9-10-23-21(32)18(30)17(29)20(13(26)11-24)34-22-19(31)16(28)15(27)14(12-25)33-22/h13-20,22,24-31H,2-12H2,1H3,(H,23,32)/t13-,14-,15-,16+,17-,18-,19-,20-,22-/m1/s1",0.0013,10.1021/acs.iecr.6b02890,10.1006/jcis.1996.0054
dodecyl-D-maltonamide,25,100,CCCCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,3.5086383061657274,525.6360000000001,"InChI=1S/C24H47NO11/c1-2-3-4-5-6-7-8-9-10-11-12-25-23(34)20(32)19(31)22(15(28)13-26)36-24-21(33)18(30)17(29)16(14-27)35-24/h15-22,24,26-33H,2-14H2,1H3,(H,25,34)/t15-,16-,17-,18+,19-,20-,21-,22-,24-/m1/s1",0.00031,10.1021/acs.iecr.6b02890,10.1006/jcis.1996.0054
decyl-D-lactobionamide,25,51,CCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,2.886056647693163,483.5550000000001,"InChI=1S/C21H41NO11/c1-2-3-4-5-6-7-8-9-10-22-19(30)15(27)14(26)18(12(24)11-23)32-21-17(29)13(25)16(28)20(31)33-21/h12-18,20-21,23-29,31H,2-11H2,1H3,(H,22,30)/t12-,13+,14-,15-,16-,17-,18-,20+,21-/m1/s1",0.0013,10.1021/acs.iecr.6b02890,10.1007/BFb0118076
6′-O-dodecanoylmaltose,22,55,CCCCCCCCCCCC(=O)OC1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,3.4814860601221125,524.6040000000002,"InChI=1S/C24H44O12/c1-2-3-4-5-6-7-8-9-10-11-16(27)35-23-21(32)19(30)22(15(13-26)34-23)36-24-20(31)18(29)17(28)14(12-25)33-24/h14-15,17-26,28-32H,2-13H2,1H3/t14-,15-,17-,18+,19-,20-,21-,22-,23?,24-/m1/s1",0.00033,10.1021/acs.iecr.6b02890,10.1021/la001309z
N-decanoyl-N-methyl lactitolamine,25,101,CCCCCCCCCC(=O)NC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,2.4814860601221125,497.5820000000002,"InChI=1S/C22H43NO11/c1-2-3-4-5-6-7-8-9-16(28)23-10-13(26)17(29)21(14(27)11-24)34-22-20(32)19(31)18(30)15(12-25)33-22/h13-15,17-22,24-27,29-32H,2-12H2,1H3,(H,23,28)/t13-,14+,15+,17+,18-,19-,20+,21+,22-/m0/s1",0.0033,10.1021/acs.iecr.6b02890,10.1007/s11743-001-0169-1
N-dodecanoyl-N-methyl lactitolamine,25,101,CCCCCCCCCC(=O)NC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,3.3467874862246565,497.5820000000002,"InChI=1S/C22H43NO11/c1-2-3-4-5-6-7-8-9-16(28)23-10-13(26)17(29)21(14(27)11-24)34-22-20(32)19(31)18(30)15(12-25)33-22/h13-15,17-22,24-27,29-32H,2-12H2,1H3,(H,23,28)/t13-,14+,15+,17+,18-,19-,20+,21+,22-/m0/s1",0.00045,10.1021/acs.iecr.6b02890,10.1007/s11743-001-0169-1
N-tetradecanoyl-N-methyl lactitolamine,25,101,CCCCCCCCCCCC(=O)NC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,4.167491087293763,525.6360000000002,"InChI=1S/C24H47NO11/c1-2-3-4-5-6-7-8-9-10-11-18(30)25-12-15(28)19(31)23(16(29)13-26)36-24-22(34)21(33)20(32)17(14-27)35-24/h15-17,19-24,26-29,31-34H,2-14H2,1H3,(H,25,30)/t15-,16+,17+,19+,20-,21-,22+,23+,24-/m0/s1",6.8e-05,10.1021/acs.iecr.6b02890,10.1007/s11743-001-0169-1
nonyl-β-D-glucoside,20,102,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.161150909262745,306.39900000000006,"InChI=1S/C15H30O6/c1-2-3-4-5-6-7-8-9-20-15-14(19)13(18)12(17)11(10-16)21-15/h11-19H,2-10H2,1H3/t11-,12-,13+,14-,15-/m1/s1",0.006900000000000001,10.1021/acs.iecr.6b02890,10.1021/la035613e
6-O-[(hexyloctyl)-3-propylsulfide)ethanoyl]-D-mannose,25,56,CCCCCCC(CCCCCCCOC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)C(CC)SCCC,5.200659450546418,492.76300000000015,"InChI=1S/C26H52O6S/c1-4-7-8-12-15-20(22(6-3)33-18-5-2)16-13-10-9-11-14-17-31-19-21-23(27)24(28)25(29)26(30)32-21/h20-30H,4-19H2,1-3H3/t20?,21-,22?,23-,24+,25+,26?/m1/s1",6.3e-06,10.1021/acs.iecr.6b02890,10.1016/j.carres.2013.07.003
6-O-dodecanoylsucrose,20,90,CCCCCCCCCCC(=O)OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,3.337242168318426,510.57700000000017,"InChI=1S/C23H42O12/c1-2-3-4-5-6-7-8-9-10-16(26)32-12-15-17(27)19(29)20(30)22(33-15)35-23(13-25)21(31)18(28)14(11-24)34-23/h14-15,17-22,24-25,27-31H,2-13H2,1H3/t14-,15-,17-,18-,19+,20-,21+,22-,23+/m1/s1",0.00046,10.1021/acs.iecr.6b02890,10.1016/0927-7757(95)03250-H
6-O-dodecanoylraffinose,20,90,CCCCCCCCCCC(=O)OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,3.0222763947111524,672.7180000000006,"InChI=1S/C29H52O17/c1-2-3-4-5-6-7-8-9-10-18(32)41-12-16-19(33)22(36)24(38)27(43-16)42-13-17-20(34)23(37)25(39)28(44-17)46-29(14-31)26(40)21(35)15(11-30)45-29/h15-17,19-28,30-31,33-40H,2-14H2,1H3/t15-,16-,17-,19+,20-,21-,22+,23+,24-,25-,26+,27+,28-,29+/m1/s1",0.00095,10.1021/acs.iecr.6b02890,10.1016/0927-7757(95)03250-H
6-O-dodecanoylstachyose,20,90,CCCCCCCCCCC(=O)OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](O[C@]4(CO)O[C@H](CO)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,2.638272163982407,834.8590000000011,"InChI=1S/C35H62O22/c1-2-3-4-5-6-7-8-9-10-20(38)50-12-17-21(39)25(43)28(46)32(53-17)51-13-18-22(40)26(44)29(47)33(54-18)52-14-19-23(41)27(45)30(48)34(55-19)57-35(15-37)31(49)24(42)16(11-36)56-35/h16-19,21-34,36-37,39-49H,2-15H2,1H3/t16-,17-,18-,19-,21+,22+,23-,24-,25+,26+,27+,28-,29-,30-,31+,32+,33+,34-,35+/m1/s1",0.0023,10.1021/acs.iecr.6b02890,10.1016/0927-7757(95)03250-H
octyl-β-D-thioglucoside,25,103,CCCCCCCCSC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.070581074285707,308.44,"InChI=1S/C14H28O5S/c1-2-3-4-5-6-7-8-20-14-13(18)12(17)11(16)10(9-15)19-14/h10-18H,2-9H2,1H3/t10-,11-,12+,13-,14?/m1/s1",0.0085,10.1021/acs.iecr.6b02890,10.1021/jp0480551
