Comp. ID,SMILES,pCMC experiment,method
147,CCCCCCCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCCCCCCC.[Cl-].[Cl-],2.790,
148,CCCCCCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCCCCCC.[Cl-].[Cl-],2.790,
149,CCCCCCCCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCCCCCCCC.[Cl-].[Cl-],2.810,
150,CCCCCCCCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCCCCCCCC.[Cl-].[Cl-],2.840,
151,CCCCCCCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCCCCCCC.[Cl-].[Cl-],2.870,
152,CCCCCCCCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCCCCCCCC.[Cl-].[Cl-],2.880,
153,CCCCCCCCCCCCCCC(=O)N[N+](CCC[N+](NC(=O)CCCCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],2.903,
154,CCCCCCCCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCCCCCCCC.[Cl-].[Cl-],2.910,
155,CCCCCCCCCCCC[N+](CCCNCCC[N+](CCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],2.932,
156,CCCCCCCCCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCCCCCCCCC.[Cl-].[Cl-],2.950,
157,CCCCCCCCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCCCCCCCC.[Cl-].[Cl-],2.950,
158,CCCCCCCCCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCCCCCCCCC.[Cl-].[Cl-],3.000,
159,CCCCCCCCCCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCCCCCCCCCC.[Cl-].[Cl-],3.040,
160,CCCCCCCCCCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCCCCCCCCCC.[Cl-].[Cl-],3.070,
161,CCCCCCCCCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCCCCCCCCC.[Cl-].[Cl-],3.070,
162,CCCCCCCCCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCCCCCCCCC.[Cl-].[Cl-],3.070,
163,CCCCCCCCCCCC[N+](C(=O)NCCCCCCNC(=O)[N+](CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],3.071,
164,CCCCCCCCCC[n+]1cccc(c1)NC(=O)Nc1ccc[n+](c1)CCCCCCCCCC.[Br-].[Br-],3.073,
165,CCCCCCCCCCCC[N+](C(=O)OCCCCCCOC(=O)[N+](CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],3.114,
166,CCCCCCCCCCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCCCCCCCCCC.[Cl-].[Cl-],3.130,
167,CCCCCCCCCCCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCCCCCCCCCCC.[Cl-].[Cl-],3.150,
168,CCCCCCCCCCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCCCCCCCCCC.[Cl-].[Cl-],3.160,
169,CCCCCCCCCCCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCCCCCCCCCCC.[Cl-].[Cl-],3.180,
170,CCCCCCCCCCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCCCCCCCCCC.[Cl-].[Cl-],3.200,
171,CCCCCCCCCCCCn1cc[n+](c1)CCC[n+]1ccn(c1)CCCCCCCCCCCC.[Br-].[Br-],3.276,
172,CCCCCCCCCCCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCCCCCCCCCCC.[Cl-].[Cl-],3.290,
173,CCCCCCCCCCCC[N+]1(CCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],3.301,
174,CCCCCCCCCCCCCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCCCCCCCCCCCCC.[Cl-].[Cl-],3.370,
175,CCCCCCCCCCCCCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCCCCCCCCCCCCC.[Cl-].[Cl-],3.430,
176,CCCCCCCCCCCCCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCCCCCCCCCCCCC.[Cl-].[Cl-],3.470,
177,CCCCCCCCCCCCCCCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],3.580,
178,CCCCCCCCCCCCCCCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],3.610,
179,CCCCCCCCCCCCCCCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],3.650,
180,CCCCCCCCCCCCCC(=O)OCC(C[n+]1ccn(c1)C)(C[n+]1ccn(c1)C)COC(=O)CCCCCCCCCCCCC.[Br-].[Br-],3.921,
181,CCCCCCCCCCCCCCn1cc[n+](c1)CCCC[n+]1ccn(c1)CCCCCCCCCCCCCC.[Br-].[Br-],3.921,
182,CCCCCCCCCCCCCCOc1ccc[n+](c1)CC[n+]1cccc(c1)OCCCCCCCCCCCCCC.[Br-].[Br-],4.469,
