no.,surfactant code,reported experimental log(CMC),ref,corrected experimental log(CMC),predicted log(CMC) eq3,predicted log(CMC) eq (Table 5),Temp_Celsius,ref_key,method
46,CF6C2C(C5)SO4Na,-2.921,6,-3.021,-3.182,-2.942,25,miyazawa2003,
47,CF8C2C(C5)SO4Na,-3.796,6,-3.896,-4.052,-3.48,25,miyazawa2003,
48,CF4C2C(C7)SO4Na,-2.387,6,-2.487,-2.579,-2.681,25,miyazawa2003,
49,CF6C2C(C7)SO4Na,-3.301,6,-3.401,-3.549,-3.283,25,miyazawa2003,
50,CF8C2C(C7)SO4Na,-4.155,6,-4.255,-4.54,-3.85,25,miyazawa2003,
51,CC(C)C5PhEO10PO4H2,-1.796,23,,-2.802,-1.101,40.0,alsabagh2000,
52,CC(C)C5PhEO15PO4H2,-1.77,23,,-3.902,-1.717,40.0,alsabagh2000,
53,CC(C)C5PhEO20PO4H2,-1.745,23,,-4.62,-2.128,40.0,alsabagh2000,
54,C7C(O)NGlupyrSO4Na,-1.602,10,,-1.214,-1.375,40.0,bazito2001,
55,C11C(O)NGlupyrSO4Na,-2.77,10,,-2.394,-2.251,40.0,bazito2001,
56,C15C(O)NGlupyrSO4Na,-3.921,10,,-3.587,-3.061,40.0,bazito2001,
57,C5PhePhSO3Na,-1.854,2,-1.817,-2.757,-2.038,25,baczko2004,
58,C8PhePhSO3Na,-2.854,2,-2.817,-3.289,-2.903,25,baczko2004,
59,C10PhePhSO3Na,-3.481,2,-3.445,-3.847,-3.494,25,baczko2004,
60,C12PheSO3Na,-4.201,2,-4.164,-3.563,-3.31,25,baczko2004,
61,C14PhePhSO3Na,-4.796,2,-4.759,-4.933,-4.498,25,baczko2004,
62,C12AlaPhSO3Na,-3.387,2,-3.351,-4.035,-3.359,25,baczko2004,
63,C6SO3Na,-0.496,13,,-0.025,0.183,40.0,huibers1997,
64,C8SO3Na,-0.796,13,,-0.631,-0.961,40.0,huibers1997,
65,C10SO3Na,-1.398,13,,-1.21,-1.684,40.0,huibers1997,
66,C12SO3Na,-1.959,13,,-1.876,-2.28,40.0,huibers1997,
67,C13SO3Na,-2.421,13,,-2.193,-2.539,40.0,huibers1997,
68,C14SO3Na,-2.602,13,,-2.509,-2.785,40.0,huibers1997,
69,C15SO3Na,-3.139,13,,-2.827,-3.022,40.0,huibers1997,
70,C16SO3Na,-3.131,13,,-3.145,-3.25,40.0,huibers1997,
71,C17SO3Na,-3.635,13,,-3.432,-3.459,40.0,huibers1997,
72,C10CdCSO3Na,-1.886,13,,-1.778,-2.13,40.0,huibers1997,
73,C12CdCSO3Na,-2.569,13,,-2.412,-2.644,40.0,huibers1997,
74,C14CdCSO3Na,-3.215,13,,-3.049,-3.115,40.0,huibers1997,
75,C16CdCSO3Na,-3.745,13,,-3.688,-3.561,40.0,huibers1997,
76,C10C(C)SO3Na,-1.827,13,,-1.699,-1.757,40.0,huibers1997,
77,C9C(C2)SO3Na,-1.73,13,,-1.529,-1.635,40.0,huibers1997,
78,C8C(C3)SO3Na,-1.635,13,,-1.429,-1.521,40.0,huibers1997,
79,C7C(C4)SO3Na,-1.548,13,,-1.403,-1.455,40.0,huibers1997,
80,C6C(C5)SO3Na,-1.442,13,,-1.326,-1.375,40.0,huibers1997,
81,C7C(C7)SO3Na,-2.144,13,,-2.052,-2.197,40.0,huibers1997,
82,C7PhSO3Na,-1.582,13,,-1.591,-1.688,40.0,huibers1997,
