identifier,CMC,AW_ST_CMC,F x 10^20/ m2,source_doi,SMILES,reference_doi,Temp_Celsius,method,Molecular_Weight,InChI,Gamma_max,Area_min,pCMC
IX,3.2e-05,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],,20,,797.0310000000001,"InChI=1S/C43H92N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-32-36-40-44(3,4)42-38-34-31-35-39-43-45(5,6)41-37-33-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-43H2,1-6H3;2*1H/q+2;;/p-2",,,4.494850021680094
X,0.031,,,10.1016/0021-9797(86)90417-0,CCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],,20,,587.6140000000004,"InChI=1S/C27H61N3.2BrH/c1-8-10-12-14-16-18-24-29(4,5)26-20-22-28(3)23-21-27-30(6,7)25-19-17-15-13-11-9-2;;/h8-27H2,1-7H3;2*1H/q+2;;/p-2",,,1.5086383061657274
XI,0.018,,,10.1016/0021-9797(86)90417-0,CCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCC.[Br-].[Br-],,20,,615.6680000000005,"InChI=1S/C29H65N3.2BrH/c1-8-10-12-14-16-18-20-26-31(4,5)28-22-24-30(3)25-23-29-32(6,7)27-21-19-17-15-13-11-9-2;;/h8-29H2,1-7H3;2*1H/q+2;;/p-2",,,1.744727494896694
XII,0.0084,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],,20,,643.7220000000004,"InChI=1S/C31H69N3.2BrH/c1-8-10-12-14-16-18-20-22-28-33(4,5)30-24-26-32(3)27-25-31-34(6,7)29-23-21-19-17-15-13-11-9-2;;/h8-31H2,1-7H3;2*1H/q+2;;/p-2",,,2.0757207139381184
XIII,0.003,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCC.[Br-].[Br-],,20,,671.7760000000005,"InChI=1S/C33H73N3.2BrH/c1-8-10-12-14-16-18-20-22-24-30-35(4,5)32-26-28-34(3)29-27-33-36(6,7)31-25-23-21-19-17-15-13-11-9-2;;/h8-33H2,1-7H3;2*1H/q+2;;/p-2",,,2.5228787452803374
XIV,0.0011,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],,20,,699.8300000000005,"InChI=1S/C35H77N3.2BrH/c1-8-10-12-14-16-18-20-22-24-26-32-37(4,5)34-28-30-36(3)31-29-35-38(6,7)33-27-25-23-21-19-17-15-13-11-9-2;;/h8-35H2,1-7H3;2*1H/q+2;;/p-2",,,2.958607314841775
XV,0.00033,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCCCC.[Br-].[Br-],,20,,727.8840000000004,"InChI=1S/C37H81N3.2BrH/c1-8-10-12-14-16-18-20-22-24-26-28-34-39(4,5)36-30-32-38(3)33-31-37-40(6,7)35-29-27-25-23-21-19-17-15-13-11-9-2;;/h8-37H2,1-7H3;2*1H/q+2;;/p-2",,,3.4814860601221125
XVI,0.00012,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],,20,,755.9380000000002,"InChI=1S/C39H85N3.2BrH/c1-8-10-12-14-16-18-20-22-24-26-28-30-36-41(4,5)38-32-34-40(3)35-33-39-42(6,7)37-31-29-27-25-23-21-19-17-15-13-11-9-2;;/h8-39H2,1-7H3;2*1H/q+2;;/p-2",,,3.9208187539523753
XVII,4.3e-05,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCCCCCC.[Br-].[Br-],,20,,783.9920000000001,"InChI=1S/C41H89N3.2BrH/c1-8-10-12-14-16-18-20-22-24-26-28-30-32-38-43(4,5)40-34-36-42(3)37-35-41-44(6,7)39-33-31-29-27-25-23-21-19-17-15-13-11-9-2;;/h8-41H2,1-7H3;2*1H/q+2;;/p-2",,,4.366531544420414
XVIII,1.2e-05,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],,20,,812.0459999999999,"InChI=1S/C43H93N3.2BrH/c1-8-10-12-14-16-18-20-22-24-26-28-30-32-34-40-45(4,5)42-36-38-44(3)39-37-43-46(6,7)41-35-33-31-29-27-25-23-21-19-17-15-13-11-9-2;;/h8-43H2,1-7H3;2*1H/q+2;;/p-2",,,4.920818753952375
