Number,SMILES,STCMC (mN/m),Reference
584,CCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCC(C[N+](CCCCCCCCCCCC)(C)C)O.[Br-].[Br-],28.5,145
585,CCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCC(C[N+](CCCCCCCCCCCCCC)(C)C)O.[Br-].[Br-],34.8,145
586,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCC(C[N+](CCCCCCCCCCCCCCCC)(C)C)O.[Br-].[Br-],36.5,145
587,CCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(C[N+](CCCCCCCC)(C)C)O.[Br-].[Br-],52.2,145
588,CCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(C[N+](CCCCCCCCCC)(C)C)O.[Br-].[Br-],48.3,145
589,CCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(C[N+](CCCCCCCCCCCC)(C)C)O.[Br-].[Br-],33.8,145
590,CCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(C[N+](CCCCCCCCCCCCCC)(C)C)O.[Br-].[Br-],33.6,145
591,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(C[N+](CCCCCCCCCCCCCCCC)(C)C)O.[Br-].[Br-],43.9,145
592,[N]1(C=[N+](C=C1)CCO)CC(O)CCCCCCCCCC.[Cl-],31.3,146
593,[N]1(C=[N+](C=C1)CCO)CC(O)CCCCCCCCCCCC.[Cl-],36.0,146
594,[N]1(C=[N+](C=C1)CCO)CC(O)CCCCCCCCCCCCCC.[Cl-],37.4,146
595,[N]1(C=[N+](C=C1)CCO)CC(O)CCCCCCCCCC.[Br-],28.3,146
596,[N]1(C=[N+](C=C1)CCO)CC(O)CCCCCCCCCCCC.[Br-],31.4,146
597,[N]1(C=[N+](C=C1)CCO)CC(O)CCCCCCCCCCCCCC.[Br-],36.9,146
598,CCCCCCOC(=O)CC([N+])C(=O)OCCCCCC.[Cl-],24.3,147
599,CCCCCCCCOC(=O)CC([N+])C(=O)OCCCCCC.[Cl-],23.4,147
600,C1=CC=CC(=C1C=NCCC[N+](C)(C)CC(=O)OCCCCCCCCCC)O.[Cl-],35.9,148
601,C1=CC=CC(=C1C=NCCC[N+](C)(C)CC(=O)OCCCCCCCCCCCCCC)O.[Cl-],33.0,148
602,C1=CC=CC(=C1C=NCCC[N+](C)(C)CC(=O)OCCCCCCCCCCCCCCCC)O.[Cl-],31.6,148
603,CC[N+](CC)(CC)C(=O)OCCCCCCCCCCCC.[I-],25.0,149
604,CC[N+](CC)(CC)C(=O)OCCCCCCCCCCCCCCCC.[I-],33.0,149
605,CC[N+](CC)(CC)C(=O)OCCCCCCCCCCCCCCCCCC.[I-],35.0,149
606,C(=O)(OC)CCN(CCC(=O)OC)CC[N+](C)(C)CCCCCCCCCC.[Br-],27.1,150
607,C(=O)(OC)CCN(CCC(=O)OC)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-],27.8,150
608,C(=O)(OC)CCN(CCC(=O)OC)CC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-],38.2,150
609,C(=O)(OC)CCN(CCC(=O)OC)CCNC(=O)CCN(CCC(NCCN(CCC(=O)OC)CCC(=O)OC)=O)CC[N+](C)(C)CCCCCCCCCC.[Br-],31.7,150
610,C(=O)(OC)CCN(CCC(=O)OC)CCNC(=O)CCN(CCC(NCCN(CCC(=O)OC)CCC(=O)OC)=O)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-],32.0,150
611,C(=O)(OC)CCN(CCC(=O)OC)CCNC(=O)CCN(CCC(NCCN(CCC(=O)OC)CCC(=O)OC)=O)CC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-],41.2,150
612,C1=C(C(=CC(=C1)C=[N+](C)(C)CCCCCCCCCC)OC)OC.[Br-],32.1,151
613,C1=C(C(=CC(=C1)C=[N+](C)(C)CCCCCCCCCCCC)OC)OC.[Br-],31.1,151
614,C1=C(C(=CC(=C1)C=[N+](C)(C)CCCCCCCCCCCCCCCC)OC)OC.[Br-],39.6,151
615,CCCCCCCCCCCCN(C)C.Cl,38.5,4
616,CCCCCCCCCCC(CO)O,22.5,19
617,CCCCCCCCC(CO)O,23.2,19
618,CCCCCCCCC(CCO)O,23.4,19
619,CCCCCCCCCCC(CCO)O,23.5,19
620,CCCCCCCCCCCCC(CCO)O,26.3,19
621,CCCCCCCCOCCO,26.8,19
622,CCCCCCCCCCCCOCCOCCOCCO,27.7,19
623,CCCCCCCCCCCCOCCOCCOCCOCCO,28.4,19
624,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,29.8,19
625,CCCCCCCCCCCCOCCOCCOCCOCCOCCO,30.3,19
626,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,30.8,19
627,CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCO,29.8,19
628,CCCCCCCCCCCC(=O)NCCOCCOCCOCCO,30.5,19
629,CCCCCCOCCOCCOCCOCCOCCOCCO,31.8,19
630,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,31.8,19
631,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,32.8,19
632,CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,31.8,19
633,CCCCCCCCCCCCCCCCCCN(C)C(=O)C(C(C(C(CO)O)O)O)O,32.1,19
634,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,33.5,19
635,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,34.6,19
636,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,33.8,19
637,CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,34.4,19
638,CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,33.3,19
639,CCCCCCCCCCCCN(C)C(=O)C(C(C(C(CO)O)O)O)O,34.2,19
640,CCCCCCCCCCCCCCN(C)C(=O)C(C(C(C(CO)O)O)O)O,34.0,19
641,CCCCCCCCCCCCCCCCN(C)C(=O)C(C(C(C(CO)O)O)O)O,33.3,19
642,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,35.4,19
643,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,35.8,19
644,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,35.1,19
645,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,35.8,19
646,CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,34.8,19
647,CCCCCCCCCCCC(=O)N(CCO)CCO,34.7,19
648,CCCCCCCCCCN(C)C(=O)C(C(C(C(CO)O)O)O)O,35.7,19
649,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,38.8,19
650,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,39.8,19
651,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,39.8,19
652,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,44.8,19
653,CCCCCCCCOC(CO)CO,24.7,152
654,CCCCCCCCOCCOCCOCCO,27.0,153
655,C(CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO)(C)(C)C,27.0,154
656,C(CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCO)(C)(C)C,29.0,154
657,C(CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCO)(C)(C)C,28.0,154
658,C(CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCO)(C)(C)C,28.8,154
659,C(CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCO)(C)(C)C,30.5,154
660,C(CC(C)(C)C1=CC=C(C=C1)OCCOCCO)(C)(C)C,31.5,154
661,C(CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO)(C)(C)C,32.5,154
662,C(CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO)(C)(C)C,33.7,154
663,C(CC(C)(C)C1=CC=C(C=C1)OCCO)(C)(C)C,35.0,154
664,C(CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)(C)(C)C,35.5,154
665,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCO,28.1,155
666,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,29.6,155
667,CCCCCCCCN(CCCNC(=O)C(C(C(C(CO)O)O)O)O)CCN(CCCCCCCC)CCCNC(=O)C(C(C(C(CO)O)O)O)O,28.2,156
668,CCCCCCCCCCCCN(CCCNC(=O)C(C(C(C(CO)O)O)O)O)CCN(CCCCCCCCCCCC)CCCNC(=O)C(C(C(C(CO)O)O)O)O,32.0,156
669,CCCCCCCCCCCCN(CCCNC(=O)C(C(C(C(C(CO)O)O)O)O)O)CCN(CCCCCCCCCCCC)CCCNC(=O)C(C(C(C(C(CO)O)O)O)O)O,33.0,156
670,CCCCCCOCCOCCOCCO,30.4,157
671,CCCCCCCCOCCOCCOCCOCCO,30.5,158
672,CCCCCCCCOCCOCCOCCOCCOCCOCCO,32.8,159
673,CCCC(CCC)COCCOCCOCCOCCOCCOCCO,31.7,160
674,CCCCC(CCCC)COCCOCCOCCOCCOCCOCCOCCOCCOCCO,32.6,160
675,CCCCCOCCOCCOCCOCCOCCOCCO,34.3,160
676,CCC(CC)COCCOCCOCCOCCOCCOCCO,33.6,160
677,CC(C)COCCOCCOCCOCCOCCOCCO,35.0,160
678,CCCCCCOCCOCCOCCOCCO,32.0,161
679,CCCCCCOCCOCCOCCOCCOCCO,33.0,161
680,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,32.2,162
681,CCCCCCCCC(O)C(O)CCCCCCCC(=O)NCCO,35.0,163
682,CCCCCCCCC(O)C(O)CCCCCCCC(=O)NCCCO,39.0,163
683,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,39.7,164
684,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,44.7,164
685,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,47.5,164
686,CCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,33.0,113
687,CCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,34.1,113
688,CCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,27.8,113
689,CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,26.5,113
690,CCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,33.4,113
691,CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,29.0,113
