Number,SMILES,AW_ST_CMC/ mN/m,ref,Type_of_surfactant,DOI_1,DOI_2
118,[N+]1(=C2C(=C(C=C1)C)C=CC=C2)CCCCCCCCCCCC.[Br-],42.3,[28],cationic,10.1016/j.ces.2022.118208,
119,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)CO.[Cl-],40,[29],cationic,10.1016/j.ces.2022.118208,
120,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],41,[30],cationic,10.1016/j.ces.2022.118208,
121,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],42,[31],cationic,10.1016/j.ces.2022.118208,
122,CCCCCCCCCCCCCC[N+]1=CC=C(C=C1)C(=O)NCCCCCCNC(=O)C2=CC=[N+](C=C2)CCCCCCCCCCCCCC.[Br-].[Br-],43,[32],cationic,10.1016/j.ces.2022.118208,
123,CCCCCCCCCCCC[N+]1=CC=C(C=C1)C(=O)NCCCCCCNC(=O)C2=CC=[N+](C=C2)CCCCCCCCCCCC.[Br-].[Br-],44.5,[32],cationic,10.1016/j.ces.2022.118208,
124,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCC.[Cl-],42,[33],cationic,10.1016/j.ces.2022.118208,
125,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-],42,[33],cationic,10.1016/j.ces.2022.118208,
126,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-],42.3,[33],cationic,10.1016/j.ces.2022.118208,
127,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-],43.2,[33],cationic,10.1016/j.ces.2022.118208,
128,C(CCCCCCCCCCCCC[N+](CCC)(CCC)CCC)CC.[Br-],43.5,[34],cationic,10.1016/j.ces.2022.118208,
129,[N+](CC)(CC)(CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCC)CCCCCCCCCC.[Cl-].[Cl-],45.6,[35],cationic,10.1016/j.ces.2022.118208,
130,[N+](CC)(CC)(CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Cl-].[Cl-],46.1,[35],cationic,10.1016/j.ces.2022.118208,
131,[N+](CC)(CC)(CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC)CCCCCCCCCCCCCC.[Cl-].[Cl-],47.2,[35],cationic,10.1016/j.ces.2022.118208,
132,[N+]1(=C2C(=C(C=C1)C)C=CC=C2)CCCCCCCCCCCC.[Cl-],47.2,[36],cationic,10.1016/j.ces.2022.118208,
133,[N+](CC(C[N+](C)(C)CCCCCCCCCC)O)(C)(C)CCCCCCCCCC.[Cl-].[Cl-],36.5,[37],cationic,10.1016/j.ces.2022.118208,
134,[N+](CC(C[N+](C)(C)CCCCCCCCCCCC)O)(C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],37,[37],cationic,10.1016/j.ces.2022.118208,
135,[N+](CC(C[N+](C)(C)CCCCCCCCCCCCCC)O)(C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],39,[37],cationic,10.1016/j.ces.2022.118208,
136,[N+](CC(C[N+](C)(C)CCCCCCCCCCCCCCCC)O)(C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],42.2,[37],cationic,10.1016/j.ces.2022.118208,
