identifier,method,Temp_Celsius,AW_ST_CMC,Pi_CMC,source_doi,reference_doi,SMILES,CMC,pCMC,Molecular_Weight,InChI
C16mimBr,conductometry,25,,,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],,,387.44999999999993,"InChI=1S/C20H39N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;/h18-20H,3-17H2,1-2H3;1H/q+1;/p-1"
C12mimBF4,conductometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00375,2.425968732272281,338.24199999999996,"InChI=1S/C16H31N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;2-1(3,4)5/h14-16H,3-13H2,1-2H3;/q+1;-1"
C12mimBF4,conductometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00422,2.374687549038326,338.24199999999996,"InChI=1S/C16H31N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;2-1(3,4)5/h14-16H,3-13H2,1-2H3;/q+1;-1"
C12mimBF4,conductometry,40,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00439,2.3575354797578787,338.24199999999996,"InChI=1S/C16H31N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;2-1(3,4)5/h14-16H,3-13H2,1-2H3;/q+1;-1"
C14mimBF4,conductometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00127,2.896196279044043,366.29599999999994,"InChI=1S/C18H35N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;2-1(3,4)5/h16-18H,3-15H2,1-2H3;/q+1;-1"
C14mimBF4,conductometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00181,2.7423214251308154,366.29599999999994,"InChI=1S/C18H35N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;2-1(3,4)5/h16-18H,3-15H2,1-2H3;/q+1;-1"
C14mimBF4,conductometry,40,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00222,2.653647025549361,366.29599999999994,"InChI=1S/C18H35N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;2-1(3,4)5/h16-18H,3-15H2,1-2H3;/q+1;-1"
C16mimBF4,conductometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.000156,3.8068754016455384,394.3499999999999,"InChI=1S/C20H39N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;2-1(3,4)5/h18-20H,3-17H2,1-2H3;/q+1;-1"
C16mimBF4,conductometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.000176,3.75448733218585,394.3499999999999,"InChI=1S/C20H39N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;2-1(3,4)5/h18-20H,3-17H2,1-2H3;/q+1;-1"
C16mimBF4,conductometry,40,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.000129,3.889410289700751,394.3499999999999,"InChI=1S/C20H39N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;2-1(3,4)5/h18-20H,3-17H2,1-2H3;/q+1;-1"
C12mimBF4,fluorimetry,25,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00361,2.4424927980943423,338.24199999999996,"InChI=1S/C16H31N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;2-1(3,4)5/h14-16H,3-13H2,1-2H3;/q+1;-1"
C14mimBF4,fluorimetry,25,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.000858,3.0665127121512947,366.29599999999994,"InChI=1S/C18H35N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;2-1(3,4)5/h16-18H,3-15H2,1-2H3;/q+1;-1"
C16mimBF4,fluorimetry,25,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,7.3e-05,4.136677139879544,394.3499999999999,"InChI=1S/C20H39N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;2-1(3,4)5/h18-20H,3-17H2,1-2H3;/q+1;-1"
C12mimBF4,UV absorption of pyrene,25,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00314,2.503070351926785,338.24199999999996,"InChI=1S/C16H31N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;2-1(3,4)5/h14-16H,3-13H2,1-2H3;/q+1;-1"
C14mimBF4,UV absorption of pyrene,25,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00102,2.9913998282380825,366.29599999999994,"InChI=1S/C18H35N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;2-1(3,4)5/h16-18H,3-15H2,1-2H3;/q+1;-1"
C16mimBF4,UV absorption of pyrene,25,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00011,3.958607314841775,394.3499999999999,"InChI=1S/C20H39N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;2-1(3,4)5/h18-20H,3-17H2,1-2H3;/q+1;-1"
